ram_row,ram_tag,lvis_row,lvis_name,matched_surface,rule,ram_rule,via_synonym,threshold,applied,note
209,baby carriage,31,baby_buggy,baby carriage,exact,exact,1,0.3300,1,
218,backpack,33,backpack,backpack,exact,exact,0,0.3400,1,
227,bagel,36,bagel,bagel,exact,exact,0,0.3600,1,
228,bagpipe,37,bagpipe,bagpipe,exact,exact,0,0.3400,1,
229,baguette,38,baguet,baguette,exact,exact,1,0.3400,1,
230,bait,39,bait,bait,exact,exact,0,0.3500,1,
239,ball,40,ball,ball,exact,exact,0,0.3600,1,
244,ballet skirt,41,ballet_skirt,ballet skirt,exact,exact,0,0.3400,1,
245,balloon,42,balloon,balloon,exact,exact,0,0.3400,1,
249,bamboo,43,bamboo,bamboo,exact,exact,0,0.3300,1,
251,banana,44,banana,banana,exact,exact,0,0.3600,1,
256,band aid,45,Band_Aid,Band Aid,exact,exact,0,0.3000,1,
257,bandage,46,bandage,bandage,exact,exact,0,0.3300,1,
258,headscarf,549,headscarf,headscarf,exact,exact,0,0.2900,1,
259,bandeau,147,brassiere,bandeau,exact,exact,1,0.3500,1,
261,bracelet,145,bracelet,bracelet,exact,exact,0,0.3300,1,
263,banjo,48,banjo,banjo,exact,exact,0,0.3700,1,
268,banner,49,banner,banner,exact,exact,0,0.3400,1,
279,barbell,50,barbell,barbell,exact,exact,0,0.3400,1,
283,barge,51,barge,barge,exact,exact,0,0.3000,1,
290,barrel,52,barrel,barrel,exact,exact,0,0.3400,1,
293,handcart,536,handcart,handcart,exact,exact,0,0.3500,1,
295,baseball,56,baseball,baseball,exact,exact,0,0.3800,1,
296,baseball base,55,baseball_base,baseball base,exact,exact,0,0.3800,1,
297,baseball bat,57,baseball_bat,baseball bat,exact,exact,0,0.3600,1,
301,baseball glove,59,baseball_glove,baseball glove,exact,exact,0,0.3700,1,
307,basin,1158,washbasin,basin,exact,exact,1,0.3700,1,
308,basket,60,basket,basket,exact,exact,0,0.3300,1,
310,basketball,61,basketball,basketball,exact,exact,0,0.3900,1,
311,basketball backboard,32,basketball_backboard,basketball backboard,exact,exact,0,0.3400,1,
321,bass horn,62,bass_horn,bass horn,exact,exact,0,0.3500,1,
323,bat,63,bat_(animal),bat,exact,exact,0,0.3300,1,
326,bath mat,64,bath_mat,bath mat,exact,exact,0,0.3600,1,
327,bath towel,65,bath_towel,bath towel,exact,exact,0,0.3400,1,
328,swimwear,1044,swimsuit,swimwear,exact,exact,1,0.3400,1,
329,bathrobe,66,bathrobe,bathrobe,exact,exact,0,0.3400,1,
336,toilet paper,1097,toilet_tissue,toilet paper,exact,exact,1,0.3600,1,
340,batter,68,batter_(food),batter,exact,exact,0,0.3600,1,
341,battery,69,battery,battery,exact,exact,0,0.3600,1,
352,beach chair,357,deck_chair,beach chair,exact,exact,1,0.3400,1,
358,bead,71,bead,bead,exact,exact,0,0.3300,1,
365,beanbag,73,beanbag,beanbag,exact,exact,0,0.3500,1,
366,bear,75,bear,bear,exact,exact,0,0.3600,1,
375,bed,76,bed,bed,exact,exact,0,0.3700,1,
376,bedcover,78,bedspread,bedcover,exact,exact,1,0.3600,1,
380,bedpan,77,bedpan,bedpan,exact,exact,0,0.3400,1,
385,beef,80,beef_(food),beef,exact,exact,0,0.3600,1,
387,beeper,81,beeper,beeper,exact,exact,0,0.3400,1,
389,beer bottle,82,beer_bottle,beer bottle,exact,exact,0,0.3100,1,
390,beer can,83,beer_can,beer can,exact,exact,0,0.3300,1,
395,beetle,84,beetle,beetle,exact,exact,0,0.3000,1,
397,clock,270,clock,clock,exact,exact,0,0.3500,1,
398,bell pepper,86,bell_pepper,bell pepper,exact,exact,0,0.3300,1,
400,belt,87,belt,belt,exact,exact,0,0.3400,1,
401,belt buckle,88,belt_buckle,belt buckle,exact,exact,0,0.3100,1,
402,bench,89,bench,bench,exact,exact,0,0.3500,1,
406,beret,90,beret,beret,exact,exact,0,0.3400,1,
410,bib,91,bib,bib,exact,exact,0,0.3500,1,
412,bible,92,Bible,Bible,exact,exact,0,0.3200,1,
414,bicycle,93,bicycle,bicycle,exact,exact,0,0.3400,1,
428,billboard,95,billboard,billboard,exact,exact,0,0.3300,1,
429,billiard table,830,pool_table,billiard table,exact,exact,1,0.3100,1,
431,binder,96,binder,binder,exact,exact,0,0.3400,1,
432,binocular,97,binoculars,binoculars,plural,exact,0,0.3100,1,
437,bird,98,bird,bird,exact,exact,0,0.3600,1,
442,birdbath,100,birdbath,birdbath,exact,exact,0,0.3200,1,
446,birthday cake,103,birthday_cake,birthday cake,exact,exact,0,0.3600,1,
448,birthday card,104,birthday_card,birthday card,exact,exact,0,0.3000,1,
450,biscuit,302,cookie,biscuit,exact,exact,1,0.3500,1,
456,black sheep,106,black_sheep,black sheep,exact,exact,0,0.3600,1,
457,blackberry,107,blackberry,blackberry,exact,exact,0,0.3300,1,
459,blackboard,108,blackboard,blackboard,exact,exact,0,0.3000,1,
462,blanket,109,blanket,blanket,exact,exact,0,0.3600,1,
463,sports coat,110,blazer,sports coat,exact,exact,1,0.3300,1,
465,blender,111,blender,blender,exact,exact,0,0.3500,1,
469,flasher,113,blinker,flasher,exact,exact,1,0.3400,1,
476,blouse,114,blouse,blouse,exact,exact,0,0.3100,1,
479,blowfish,850,puffer_(fish),blowfish,exact,exact,1,0.2000,1,
484,blueberry,115,blueberry,blueberry,exact,exact,0,0.3600,1,
486,pig,561,hog,pig,exact,exact,1,0.3400,1,
491,boat,117,boat,boat,exact,exact,0,0.3500,1,
494,paddle,744,paddle,paddle,exact,exact,0,0.3600,1,
496,bobfloat,118,bob,bobfloat,exact,exact,1,0.3400,1,
501,boiled egg,121,boiled_egg,boiled egg,exact,exact,0,0.3100,1,
502,boiler,603,kettle,boiler,exact,exact,1,0.3500,1,
503,bolo tie,122,bolo_tie,bolo tie,exact,exact,0,0.2000,1,
504,bolt,124,bolt,bolt,exact,exact,0,0.3400,1,
510,bonnet,125,bonnet,bonnet,exact,exact,0,0.3400,1,
512,book,126,book,book,exact,exact,0,0.3400,1,
514,bookcase,127,bookcase,bookcase,exact,exact,0,0.3500,1,
516,bookmark,129,bookmark,bookmark,exact,exact,0,0.3400,1,
519,boom microphone,130,boom_microphone,boom microphone,exact,exact,0,0.2900,1,
521,boot,131,boot,boot,exact,exact,0,0.3200,1,
525,bottle,132,bottle,bottle,exact,exact,0,0.3200,1,
526,bottle cap,203,bottle_cap,bottle cap,exact,exact,0,0.3200,1,
527,bottle opener,133,bottle_opener,bottle opener,exact,exact,0,0.3300,1,
528,bottle screw,307,corkscrew,bottle screw,exact,exact,1,0.3400,1,
531,bouquet,134,bouquet,bouquet,exact,exact,0,0.3500,1,
534,bow,135,bow_(weapon),bow,exact,exact,0,0.3500,0,ambiguous_sense_dropped
534,bow,136,bow_(decorative_ribbons),bow,exact,exact,0,0.3000,0,ambiguous_sense_dropped
535,bow tie,137,bow-tie,bow-tie,punct,exact,0,0.3400,1,
537,bowl,138,bowl,bowl,exact,exact,0,0.3500,1,
540,bowling ball,141,bowling_ball,bowling ball,exact,exact,0,0.3300,1,
542,box,142,box,box,exact,exact,0,0.3500,1,
546,underdrawers,390,underdrawers,underdrawers,exact,exact,0,0.3300,1,
548,boxing glove,143,boxing_glove,boxing glove,exact,exact,0,0.3200,1,
556,brake light,1019,brake_light,brake light,exact,exact,0,0.3200,1,
561,brass plaque,146,brass_plaque,brass plaque,exact,exact,0,0.2800,1,
562,bread,149,bread,bread,exact,exact,0,0.3500,1,
563,breadbox,148,bread-bin,breadbox,exact,exact,1,0.3400,1,
573,wedding dress,151,bridal_gown,wedding dress,exact,exact,1,0.3200,1,
579,briefcase,152,briefcase,briefcase,exact,exact,0,0.3100,1,
582,broach,154,broach,broach,exact,exact,0,0.3600,1,
584,broccoli,153,broccoli,broccoli,exact,exact,0,0.3500,1,
591,broom,155,broom,broom,exact,exact,0,0.3300,1,
595,brownie,156,brownie,brownie,exact,exact,0,0.3500,1,
600,brussels sprout,157,brussels_sprouts,brussels sprouts,plural,exact,0,0.3400,1,
602,bubble gum,158,bubble_gum,bubble gum,exact,exact,0,0.3100,1,
605,shield,945,shield,shield,exact,exact,0,0.3600,1,
617,lamp,625,lamp,lamp,exact,exact,0,0.3300,1,
618,bull,161,bull,bull,exact,exact,0,0.3600,1,
619,bulldog,162,bulldog,bulldog,exact,exact,0,0.3500,1,
621,bullet train,164,bullet_train,bullet train,exact,exact,0,0.3500,1,
622,bulletin board,165,bulletin_board,bulletin board,exact,exact,0,0.3200,1,
623,bulletproof vest,166,bulletproof_vest,bulletproof vest,exact,exact,0,0.3200,1,
625,megaphone,167,bullhorn,megaphone,exact,exact,1,0.3400,1,
629,roll,168,bun,roll,exact,exact,1,0.3700,1,
632,bunk bed,169,bunk_bed,bunk bed,exact,exact,0,0.3800,1,
635,buoy,170,buoy,buoy,exact,exact,0,0.3500,1,
639,burrito,171,burrito,burrito,exact,exact,0,0.3200,1,
640,bus,172,bus_(vehicle),bus,exact,exact,0,0.3600,1,
648,business card,173,business_card,business card,exact,exact,0,0.3000,1,
658,butter,174,butter,butter,exact,exact,0,0.3500,1,
660,butterfly,175,butterfly,butterfly,exact,exact,0,0.3200,1,
662,button,176,button,button,exact,exact,0,0.3300,1,
665,taxi,177,cab_(taxi),taxi,exact,exact,1,0.3600,1,
666,cabana,178,cabana,cabana,exact,exact,0,0.3400,1,
669,cabin car,179,cabin_car,cabin car,exact,exact,0,0.3600,1,
670,cabinet,180,cabinet,cabinet,exact,exact,0,0.3500,1,
676,canteen,201,canteen,canteen,exact,exact,0,0.3500,1,
678,cake,182,cake,cake,exact,exact,0,0.3700,1,
680,calculator,183,calculator,calculator,exact,exact,0,0.3200,1,
682,calendar,184,calendar,calendar,exact,exact,0,0.3300,1,
683,calf,185,calf,calf,exact,exact,0,0.3700,1,
688,camcorder,186,camcorder,camcorder,exact,exact,0,0.3600,1,
689,camel,187,camel,camel,exact,exact,0,0.3500,1,
690,camera,188,camera,camera,exact,exact,0,0.3500,1,
691,camera lens,189,camera_lens,camera lens,exact,exact,0,0.3500,1,
694,camper,190,camper_(vehicle),camper,exact,exact,0,0.3600,1,
699,can,191,can,can,exact,exact,0,0.3400,1,
700,can opener,192,can_opener,can opener,exact,exact,0,0.3300,1,
704,candle,193,candle,candle,exact,exact,0,0.3200,1,
705,candle holder,194,candle_holder,candle holder,exact,exact,0,0.3100,1,
707,candy bar,195,candy_bar,candy bar,exact,exact,0,0.3000,1,
708,candy cane,196,candy_cane,candy cane,exact,exact,0,0.3400,1,
711,jar,590,jar,jar,exact,exact,0,0.3600,1,
715,cantaloupe,200,cantaloup,cantaloupe,exact,exact,1,0.3600,1,
719,cap,202,cap_(headwear),cap,exact,exact,0,0.3400,1,
720,cape,204,cape,cape,exact,exact,0,0.3500,1,
722,cappuccino,205,cappuccino,cappuccino,exact,exact,0,0.3500,1,
726,car,206,car_(automobile),car,exact,exact,0,0.3400,1,
738,card,211,card,card,exact,exact,0,0.3300,1,
742,cardigan,212,cardigan,cardigan,exact,exact,0,0.3100,1,
746,cargo ship,213,cargo_ship,cargo ship,exact,exact,0,0.3200,1,
748,carnation,214,carnation,carnation,exact,exact,0,0.3500,1,
755,slipper,972,slipper_(footwear),slipper,exact,exact,0,0.3400,1,
757,coach,767,passenger_car_(part_of_a_train),coach,exact,exact,1,0.3500,1,
758,dalmatian,354,dalmatian,dalmatian,exact,exact,0,0.2700,1,
760,carrot,216,carrot,carrot,exact,exact,0,0.3500,1,
763,cart,218,cart,cart,exact,exact,0,0.3700,1,
764,carton,219,carton,carton,exact,exact,0,0.3500,1,
774,casserole,221,casserole,casserole,exact,exact,0,0.3700,1,
775,cassette,222,cassette,cassette,exact,exact,0,0.3300,1,
777,plaster bandage,223,cast,plaster bandage,exact,exact,1,0.3200,1,
780,cat,224,cat,cat,exact,exact,0,0.3700,1,
787,catamount,315,cougar,catamount,exact,exact,1,0.3500,1,
796,cauliflower,225,cauliflower,cauliflower,exact,exact,0,0.3200,1,
800,CD player,227,CD_player,CD player,exact,exact,0,0.3400,1,
807,celery,228,celery,celery,exact,exact,0,0.3300,1,
821,chair,231,chair,chair,exact,exact,0,0.3300,1,
823,daybed,232,chaise_longue,daybed,exact,exact,1,0.3400,1,
825,chalice,233,chalice,chalice,exact,exact,0,0.3200,1,
830,champagne flute,461,flute_glass,champagne flute,exact,exact,1,0.3100,1,
833,chandelier,234,chandelier,chandelier,exact,exact,0,0.3200,1,
836,chap,235,chap,chap,exact,exact,0,0.3500,1,
850,checkbook,236,checkbook,checkbook,exact,exact,0,0.3500,1,
851,chessboard,239,chessboard,chessboard,exact,exact,0,0.2900,1,
865,cherry,238,cherry,cherry,exact,exact,0,0.3500,1,
871,chicken,240,chicken_(animal),chicken,exact,exact,0,0.3500,1,
876,garbanzo,241,chickpea,garbanzo,exact,exact,1,0.3500,1,
882,chile,242,chili_(vegetable),chile,exact,exact,1,0.3600,1,
886,chinaware,244,chinaware,chinaware,exact,exact,0,0.3200,1,
896,chocolate bar,247,chocolate_bar,chocolate bar,exact,exact,0,0.3500,1,
897,chocolate cake,248,chocolate_cake,chocolate cake,exact,exact,0,0.3300,1,
900,chocolate milk,249,chocolate_milk,chocolate milk,exact,exact,0,0.3400,1,
901,chocolate mousse,250,chocolate_mousse,chocolate mousse,exact,exact,0,0.2800,1,
902,truffle,1123,truffle_(chocolate),truffle,exact,exact,0,0.2800,1,
905,cutting board,252,chopping_board,cutting board,exact,exact,1,0.3500,1,
906,chopstick,253,chopstick,chopstick,exact,exact,0,0.3400,1,
917,christmas tree,254,Christmas_tree,Christmas tree,exact,exact,0,0.3300,1,
921,cider,256,cider,cider,exact,exact,0,0.3500,1,
923,cigar box,257,cigar_box,cigar box,exact,exact,0,0.2500,1,
924,cigarette,258,cigarette,cigarette,exact,exact,0,0.3500,1,
925,cigarette case,259,cigarette_case,cigarette case,exact,exact,0,0.3100,1,
926,waistband,496,cincture,waistband,exact,exact,1,0.2000,1,
934,water tank,260,cistern,water tank,exact,exact,1,0.3500,1,
947,clarinet,261,clarinet,clarinet,exact,exact,0,0.3300,1,
948,clasp,262,clasp,clasp,exact,exact,0,0.2000,1,
955,pottery,839,pottery,pottery,exact,exact,0,0.3500,1,
958,cleaner,263,cleansing_agent,cleaner,exact,exact,1,0.3400,1,
961,cleat,264,cleat_(for_securing_rope),cleat,exact,exact,0,0.2000,1,
962,clementine,265,clementine,clementine,exact,exact,0,0.3100,1,
969,clip,266,clip,clip,exact,exact,0,0.3600,1,
971,clipboard,267,clipboard,clipboard,exact,exact,0,0.3300,1,
972,clipper,268,clippers_(for_plants),clippers,plural,exact,0,0.3400,1,
974,cloak,269,cloak,cloak,exact,exact,0,0.3300,1,
977,closet,345,cupboard,closet,exact,exact,1,0.3600,1,
981,clothespin,273,clothespin,clothespin,exact,exact,0,0.3400,1,
992,clutch bag,274,clutch_bag,clutch bag,exact,exact,0,0.2000,1,
995,coat,276,coat,coat,exact,exact,0,0.3300,1,
996,coatrack,278,coatrack,coatrack,exact,exact,0,0.3700,1,
998,cock,279,cock,cock,exact,exact,0,0.3700,1,
1006,cocktail table,284,coffee_table,cocktail table,exact,exact,1,0.3200,1,
1007,cocoa,281,cocoa_(beverage),cocoa,exact,exact,0,0.3400,1,
1008,coconut,282,coconut,coconut,exact,exact,0,0.3500,1,
1013,coffee machine,283,coffee_maker,coffee machine,exact,exact,1,0.3200,1,
1015,coffeepot,285,coffeepot,coffeepot,exact,exact,0,0.3400,1,
1019,coin,287,coin,coin,exact,exact,0,0.3300,1,
1021,colander,288,colander,colander,exact,exact,0,0.3500,1,
1023,slaw,289,coleslaw,slaw,exact,exact,1,0.3700,1,
1028,sheepdog,943,shepherd_dog,sheepdog,exact,exact,1,0.3000,1,
1032,coloring material,290,coloring_material,coloring material,exact,exact,0,0.3200,1,
1033,pony,829,pony,pony,exact,exact,0,0.3500,1,
1036,combination lock,291,combination_lock,combination lock,exact,exact,0,0.3400,1,
1043,comic book,293,comic_book,comic book,exact,exact,0,0.3400,1,
1051,compass,294,compass,compass,exact,exact,0,0.3300,1,
1062,keyboard,295,computer_keyboard,keyboard,exact,exact,1,0.3500,1,
1072,condiment,296,condiment,condiment,exact,exact,0,0.3700,1,
1076,cone,297,cone,cone,exact,exact,0,0.3500,1,
1096,control,298,control,control,exact,exact,0,0.3500,1,
1102,convertible,299,convertible_(automobile),convertible,exact,exact,0,0.3300,1,
1107,cooker,301,cooker,cooker,exact,exact,0,0.2900,1,
1109,cooler,304,cooler_(for_food),cooler,exact,exact,0,0.3000,1,
1116,liquor,650,liquor,liquor,exact,exact,0,0.3500,1,
1118,cork,305,cork_(bottle_plug),cork,exact,exact,0,0.3400,1,
1119,corkboard,306,corkboard,corkboard,exact,exact,0,0.3000,1,
1121,corn,308,edible_corn,corn,exact,exact,1,0.3500,1,
1123,cornbread,309,cornbread,cornbread,exact,exact,0,0.3200,1,
1125,trumpet,310,cornet,trumpet,exact,exact,1,0.3300,1,
1126,cornice,311,cornice,cornice,exact,exact,0,0.3300,1,
1127,cornmeal,312,cornmeal,cornmeal,exact,exact,0,0.3400,1,
1130,corset,313,corset,corset,exact,exact,0,0.3500,1,
1135,costume,314,costume,costume,exact,exact,0,0.3600,1,
1141,couch,981,sofa,couch,exact,exact,1,0.3600,1,
1153,courgette,1202,zucchini,courgette,exact,exact,1,0.3600,1,
1159,coverall,316,coverall,coverall,exact,exact,0,0.2000,1,
1160,cow,79,cow,cow,exact,exact,0,0.3600,1,
1161,cowbell,317,cowbell,cowbell,exact,exact,0,0.3600,1,
1164,cowboy hat,318,cowboy_hat,cowboy hat,exact,exact,0,0.3500,1,
1165,crab,319,crab_(animal),crab,exact,exact,0,0.3500,1,
1166,crabmeat,320,crabmeat,crabmeat,exact,exact,0,0.2900,1,
1173,crape,322,crape,crape,exact,exact,0,0.3700,1,
1175,crate,323,crate,crate,exact,exact,0,0.3200,1,
1178,crayon,324,crayon,crayon,exact,exact,0,0.3400,1,
1180,cream pitcher,325,cream_pitcher,cream pitcher,exact,exact,0,0.3200,1,
1185,croissant,326,crescent_roll,croissant,exact,exact,1,0.3500,1,
1193,crock pot,328,crock_pot,crock pot,exact,exact,0,0.3300,1,
1198,crossbar,329,crossbar,crossbar,exact,exact,0,0.3300,1,
1202,crouton,330,crouton,crouton,exact,exact,0,0.3400,1,
1203,crow,331,crow,crow,exact,exact,0,0.3800,1,
1204,crowbar,332,crowbar,crowbar,exact,exact,0,0.3500,1,
1207,crown,333,crown,crown,exact,exact,0,0.3200,1,
1209,crucifix,334,crucifix,crucifix,exact,exact,0,0.3200,1,
1211,cruise ship,335,cruise_ship,cruise ship,exact,exact,0,0.3700,1,
1213,crumb,337,crumb,crumb,exact,exact,0,0.3500,1,
1215,crutch,338,crutch,crutch,exact,exact,0,0.3500,1,
1217,cub,339,cub_(animal),cub,exact,exact,0,0.3800,1,
1218,cube,340,cube,cube,exact,exact,0,0.3400,1,
1219,cucumber,341,cucumber,cucumber,exact,exact,0,0.3300,1,
1222,cufflink,342,cufflink,cufflink,exact,exact,0,0.3300,1,
1225,cup,343,cup,cup,exact,exact,0,0.3400,1,
1226,cupcake,346,cupcake,cupcake,exact,exact,0,0.3700,1,
1230,hair roller,347,hair_curler,hair roller,exact,exact,1,0.3200,1,
1234,curtain,349,curtain,curtain,exact,exact,0,0.3400,1,
1236,pad,743,pad,pad,exact,exact,0,0.3600,1,
1243,cylinder,351,cylinder,cylinder,exact,exact,0,0.3200,1,
1244,cymbal,352,cymbal,cymbal,exact,exact,0,0.3100,1,
1249,dagger,353,dagger,dagger,exact,exact,0,0.3200,1,
1251,daikon,866,radish,daikon,exact,exact,1,0.3600,1,
1265,dartboard,355,dartboard,dartboard,exact,exact,0,0.3400,1,
1267,date,356,date_(fruit),date,exact,exact,0,0.2000,1,
1272,deadbolt,123,deadbolt,deadbolt,exact,exact,0,0.3400,1,
1282,deer,358,deer,deer,exact,exact,0,0.3500,1,
1295,derby,140,bowler_hat,derby,exact,exact,1,0.3300,1,
1301,table,1049,table,table,exact,exact,0,0.3400,1,
1302,table lamp,1050,table_lamp,table lamp,exact,exact,0,0.3300,1,
1308,detergent,361,detergent,detergent,exact,exact,0,0.3500,1,
1312,diaper,362,diaper,diaper,exact,exact,0,0.3700,1,
1314,journal,363,diary,journal,exact,exact,1,0.3300,1,
1315,die,364,die,die,exact,exact,0,0.3400,1,
1317,excavator,841,power_shovel,excavator,exact,exact,1,0.3600,1,
1322,rowboat,365,dinghy,rowboat,exact,exact,1,0.3400,1,
1332,dirt bike,1112,dirt_bike,dirt bike,exact,exact,0,0.3400,1,
1342,plate,817,plate,plate,exact,exact,0,0.3600,1,
1343,dish antenna,369,dish_antenna,dish antenna,exact,exact,0,0.3300,1,
1345,dishrag,370,dishrag,dishrag,exact,exact,0,0.3500,1,
1347,dishsoap,373,dishwasher_detergent,dishsoap,exact,exact,1,0.3200,1,
1349,dispenser,374,dispenser,dispenser,exact,exact,0,0.3500,1,
1355,diving board,375,diving_board,diving board,exact,exact,0,0.3100,1,
1356,paper cup,376,Dixie_cup,paper cup,exact,exact,1,0.3200,1,
1363,dog,377,dog,dog,exact,exact,0,0.3600,1,
1366,dog collar,378,dog_collar,dog collar,exact,exact,0,0.3400,1,
1369,doll,379,doll,doll,exact,exact,0,0.3400,1,
1370,dollar,380,dollar,dollar,exact,exact,0,0.3200,1,
1371,dollhouse,381,dollhouse,dollhouse,exact,exact,0,0.3100,1,
1373,dolphin,382,dolphin,dolphin,exact,exact,0,0.3100,1,
1377,donkey,383,domestic_ass,donkey,exact,exact,1,0.3500,1,
1378,donut,386,doughnut,donut,exact,exact,1,0.3600,1,
1382,doormat,385,doormat,doormat,exact,exact,0,0.3500,1,
1388,dozer,163,bulldozer,dozer,exact,exact,1,0.3400,1,
1391,dragonfly,388,dragonfly,dragonfly,exact,exact,0,0.2700,1,
1396,drawer,389,drawer,drawer,exact,exact,0,0.3400,1,
1398,drawing pin,1085,thumbtack,drawing pin,exact,exact,1,0.3500,1,
1400,dress,391,dress,dress,exact,exact,0,0.3300,1,
1401,dress hat,392,dress_hat,dress hat,exact,exact,0,0.3300,1,
1404,dress suit,393,dress_suit,dress suit,exact,exact,0,0.3300,1,
1405,dresser,394,dresser,dresser,exact,exact,0,0.3400,1,
1410,drill,395,drill,drill,exact,exact,0,0.3500,1,
1416,drone,396,drone,drone,exact,exact,0,0.3300,1,
1419,dropper,397,dropper,dropper,exact,exact,0,0.3400,1,
1421,medicine,682,medicine,medicine,exact,exact,0,0.3500,1,
1423,drum,398,drum_(musical_instrument),drum,exact,exact,0,0.3600,1,
1425,drumstick,399,drumstick,drumstick,exact,exact,0,0.3700,1,
1428,duck,400,duck,duck,exact,exact,0,0.3700,1,
1430,duckling,401,duckling,duckling,exact,exact,0,0.3900,1,
1431,duct tape,402,duct_tape,duct tape,exact,exact,0,0.3500,1,
1434,duffel,403,duffel_bag,duffel,exact,exact,1,0.3400,1,
1435,canoe,199,canoe,canoe,exact,exact,0,0.3300,1,
1436,dumbbell,404,dumbbell,dumbbell,exact,exact,0,0.3300,1,
1443,garbage truck,482,garbage_truck,garbage truck,exact,exact,0,0.3800,1,
1444,dustpan,406,dustpan,dustpan,exact,exact,0,0.3600,1,
1448,eagle,407,eagle,eagle,exact,exact,0,0.3300,1,
1451,earphone,408,earphone,earphone,exact,exact,0,0.3500,1,
1452,earplug,409,earplug,earplug,exact,exact,0,0.3500,1,
1453,earring,410,earring,earring,exact,exact,0,0.3200,1,
1455,easel,411,easel,easel,exact,exact,0,0.3300,1,
1461,eclair,412,eclair,eclair,exact,exact,0,0.3400,1,
1467,eel,413,eel,eel,exact,exact,0,0.2000,1,
1468,egg,414,egg,egg,exact,exact,0,0.3400,1,
1469,egg roll,415,egg_roll,egg roll,exact,exact,0,0.3600,1,
1471,eggbeater,417,eggbeater,eggbeater,exact,exact,0,0.3500,1,
1474,elastic band,895,rubber_band,elastic band,exact,exact,1,0.3200,1,
1476,electric chair,419,electric_chair,electric chair,exact,exact,0,0.3200,1,
1482,elephant,421,elephant,elephant,exact,exact,0,0.3600,1,
1485,elevator car,208,elevator_car,elevator car,exact,exact,0,0.3200,1,
1519,envelope,423,envelope,envelope,exact,exact,0,0.3400,1,
1522,eraser,424,eraser,eraser,exact,exact,0,0.3500,1,
1526,escargot,425,escargot,escargot,exact,exact,0,0.3100,1,
1547,extinguisher,441,fire_extinguisher,extinguisher,exact,exact,1,0.2800,1,
1568,falcon,427,falcon,falcon,exact,exact,0,0.3600,1,
1574,fan,428,fan,fan,exact,exact,0,0.2900,1,
1591,faucet,429,faucet,faucet,exact,exact,0,0.3600,1,
1598,fedora,430,fedora,fedora,exact,exact,0,0.3600,1,
1600,feedbag,721,nosebag_(for_animals),feedbag,exact,exact,1,0.3300,1,
1602,feeding chair,557,highchair,feeding chair,exact,exact,1,0.3500,1,
1608,ferret,431,ferret,ferret,exact,exact,0,0.3100,1,
1609,ferris wheel,432,Ferris_wheel,Ferris wheel,exact,exact,0,0.3100,1,
1610,ferry,433,ferry,ferry,exact,exact,0,0.3400,1,
1618,fig,434,fig_(fruit),fig,exact,exact,0,0.3200,1,
1621,figurine,436,figurine,figurine,exact,exact,0,0.3400,1,
1622,file,438,file_(tool),file,exact,exact,0,0.2000,1,
1624,file cabinet,437,file_cabinet,file cabinet,exact,exact,0,0.3300,1,
1633,fin,459,flipper_(footwear),fin,exact,exact,1,0.3600,1,
